Family,Class,Activity
GH127,GH,Ara
GH137,GH,Ara
GH142,GH,Ara
GH146,GH,Ara
GH62,GH,Ara
GT53,GT,Ara
GT83,GT,Ara
GH2,GH,Ara/Gal/GlcA/Man/Xyl
GT77,GT,Ara/Gal/Xyl
GT47,GT,Ara/Gal/Xyl
GH3,GH,Ara/Xyl
GH43,GH,Ara/Xyl
GH51,GH,Ara/Xyl
GH54,GH,Ara/Xyl
GH139,GH,Fuc
GH141,GH,Fuc
GH151,GH,Fuc
GH29,GH,Fuc
GH95,GH,Fuc
GT10,GT,Fuc
GT11,GT,Fuc
GT23,GT,Fuc
GT37,GT,Fuc
GT65,GT,Fuc
GT68,GT,Fuc
GT74,GT,Fuc
GH30,GH,Fuc/GlcA/Xyl
GH110,GH,Gal
GH147,GH,Gal
GH16,GH,Gal
GH160,GH,Gal
GH165,GH,Gal
GH27,GH,Gal
GH35,GH,Gal
GH36,GH,Gal
GH42,GH,Gal
GH57,GH,Gal
GH59,GH,Gal
GH95,GH,Gal
GH97,GH,Gal
GH98,GH,Gal
GT25,GT,Gal
GT26,GT,Gal
GT28,GT,Gal
GT31,GT,Gal
GT6,GT,Gal
GT67,GT,Gal
GT7,GT,Gal
GT8,GT,Gal
GT92,GT,Gal
GT96,GT,Gal
GH4,GH,Gal/GlcA
GH1,GH,Gal/GlcA/Fuc/Man/Xyl
GT1,GT,Gal/GlcA/Fuc/Xyl
GT32,GT,Gal/Man
GT4,GT,Gal/Man
GH31,GH,Gal/Man/Xyl
GT34,GT,Gal/Xyl
GH115,GH,GlcA
GH154,GH,GlcA
GH67,GH,GlcA
GH79,GH,GlcA
GT70,GT,GlcA
GT14,GT,GlcA/Xyl
GH125,GH,Man
GH130,GH,Man
GH164,GH,Man
GH38,GH,Man
GH47,GH,Man
GH5,GH,Man
GH63,GH,Man
GH92,GH,Man
GH99,GH,Man
GT105,GT,Man
GT15,GT,Man
GT2,GT,Man
GT22,GT,Man
GT33,GT,Man
GT39,GT,Man
GT50,GT,Man
GT58,GT,Man
GT62,GT,Man
GT69,GT,Man
GT71,GT,Man
GT76,GT,Man
GT78,GT,Man
GT87,GT,Man
GT91,GT,Man
GT94,GT,Man
GT98,GT,Man
GH116,GH,Xyl
GH120,GH,Xyl
GH39,GH,Xyl
GH52,GH,Xyl
GT25,GT,Xyl
GT43,GT,Xyl
GT61,GT,Xyl
GT90,GT,Xyl