ID,GT1,GT11,GT14,GT15,GT2,GT22,GT25,GT26,GT28,GT32,GT33,GT34,GT39,GT4,GT47,GT50,GT53,GT58,GT62,GT69,GT71,GT76,GT8,GT83,GT87,GT91
BCW-200001,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200002,0,0,0,0,4,0,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200003,0,0,0,0,6,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200004,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200005,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200006,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200007,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200008,0,0,0,0,4,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200009,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200010,0,0,0,0,15,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200011,0,0,0,0,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200012,0,0,0,0,7,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200013,0,0,0,0,6,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200014,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200015,0,0,0,0,6,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200016,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200017,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200018,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200019,0,0,0,0,16,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200020,0,0,0,0,9,0,1,1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200021,0,0,0,0,14,0,0,2,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200022,0,0,0,0,6,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200023,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200024,0,0,0,0,6,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200025,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200026,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200027,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200028,0,0,0,0,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200029,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200030,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200031,0,0,0,0,5,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200032,0,0,0,0,4,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200033,0,0,0,0,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200034,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200035,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200036,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200037,0,0,0,0,9,0,0,2,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200039,0,0,0,0,9,0,1,2,2,1,0,0,0,14,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200040,0,0,0,0,6,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200041,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200042,0,0,0,0,15,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200043,0,0,0,0,3,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200044,0,0,0,0,3,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200045,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200046,0,0,0,0,8,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200047,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200048,0,0,0,0,16,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200049,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200050,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200051,0,0,0,0,11,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200052,0,0,0,0,10,0,0,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200053,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200054,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200055,0,0,0,0,7,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200056,0,0,0,0,8,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200057,0,0,0,0,7,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200058,0,0,0,0,13,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200060,0,0,0,0,11,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200061,0,0,0,0,7,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200063,0,0,0,0,6,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
BCW-200064,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200065,0,0,0,0,7,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200066,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200067,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200068,0,1,0,0,8,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200069,0,0,0,0,9,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200070,0,0,0,0,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200071,0,0,0,0,5,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200072,0,0,0,0,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200073,0,0,0,0,8,0,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200074,0,0,0,0,16,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200077,0,0,0,0,9,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200078,0,0,0,0,3,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200079,0,0,0,0,9,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200080,0,0,0,0,13,0,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200081,0,0,0,0,3,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200082,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200083,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200084,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200085,0,0,0,0,14,0,1,3,3,1,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200086,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200087,0,0,0,0,12,0,0,2,2,0,0,0,0,12,0,0,0,0,0,0,0,0,3,2,0,0
BCW-200089,1,0,0,0,7,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200091,0,0,0,0,5,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200092,0,0,0,0,6,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200093,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200094,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200095,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200096,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200097,0,0,0,0,5,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200098,0,0,0,0,14,0,1,2,3,1,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0
BCW-200099,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200100,0,0,0,0,5,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200101,0,0,0,0,5,0,0,1,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200102,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200103,1,0,0,0,8,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200104,0,0,0,0,7,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200105,0,0,0,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200106,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200107,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200108,0,0,0,0,10,0,1,1,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200109,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200111,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200112,0,0,0,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200113,0,0,0,0,7,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200114,1,0,0,0,4,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200115,0,0,0,0,2,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200116,0,0,0,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200117,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200118,0,0,0,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200119,0,0,0,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200120,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200121,0,0,0,0,9,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200122,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200123,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200124,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200126,0,0,0,0,14,0,0,1,2,1,0,0,0,10,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200127,0,0,0,0,18,0,0,2,3,0,0,0,0,18,0,0,0,0,0,0,0,0,4,2,0,0
BCW-200128,0,0,0,0,9,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200129,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200130,0,0,0,0,5,0,0,2,1,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
BCW-200131,0,0,0,0,17,0,0,1,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200132,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200133,0,0,0,0,6,0,0,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200134,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200135,0,1,0,0,19,0,0,1,2,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200136,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200137,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200138,0,0,0,0,9,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200139,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200140,0,0,0,0,12,0,0,2,2,1,0,0,0,13,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200141,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200142,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200143,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200144,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200145,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200146,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200147,0,0,0,0,4,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200148,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200149,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200150,0,0,0,0,8,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200151,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200152,0,0,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200153,1,0,0,0,5,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200154,1,0,0,0,5,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200155,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200156,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200157,0,0,0,0,8,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200158,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200159,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200160,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200161,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200162,0,0,0,0,10,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200163,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200164,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200165,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200166,1,0,0,0,16,0,0,2,3,0,0,0,0,14,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200167,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200168,0,0,0,0,9,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200169,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200170,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200171,0,0,0,0,4,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200172,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200173,0,0,0,0,2,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200174,0,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200175,0,0,0,0,9,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200176,0,0,0,0,4,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200177,0,0,0,0,7,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200178,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200179,0,0,0,0,14,0,0,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0,2,1,0,0
BCW-200180,0,0,0,0,9,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200181,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200182,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200183,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200184,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200185,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200186,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200187,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200188,0,1,0,0,10,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200189,0,0,0,0,10,0,0,2,2,1,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200191,0,0,0,0,7,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200192,0,1,0,0,10,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200193,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200194,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200195,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200196,0,1,0,0,10,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200197,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200198,0,1,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
BCW-200199,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200200,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200201,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200202,0,0,0,0,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200203,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200204,0,0,0,0,4,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200205,0,0,0,0,10,0,0,2,1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200206,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200207,0,0,0,0,11,0,0,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0
BCW-200208,0,0,0,0,12,0,2,2,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200209,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200210,0,0,0,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
BCW-200211,0,0,0,0,7,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
